Site,Grave_ID,InventoryNumber,thickness_mm,grave_fill,clay_grain_size,temper,temper_percent,polish,smooth_beat,decorated (impression),impressed_decorations_perc,decorated (plastic),plastic_deco,slip_paint_perc,SurfaceFinishOutside,SurfaceFinishInside,Main type,Type,Plate,Measurements (mm),height_cm,max_width_cm,max_measure_cm,Measure_missing,height_mm,rim_mm,wall_mm,bottom_mm,Acc_number
Nechvalin (Nivky),207.1.1. Gr. 1,ceramic,,,,"sand, mica",,,1,,,,,,,,potsherds of Nagyrev jug ,"potsherds of Nagyrev jug (lower part only, Balkan type, smooth brown-grey surface, fine clay, fine sand and mica-tempered, (Reconstructed H 111mm, B 83mm)",,"lower part only, Balkan type, smooth brown-grey surface, fine clay, fine sand and mica-tempered, ",11.1,8.3,11.1,,Reconstructed H 111mm,,,B 83mm),
Nechvalin (Nivky),207.1.1. Gr. 1,ceramic,,,,,,1,,,,,,1,,,painted ware fragments ,"painted ware fragments (3 small fragments, Moravian type, grey-brown polished surface, finely washed clay)",,"3 small fragments, Moravian type, grey-brown polished surface, finely washed clay)",10,10,10,TRUE,,,,,
Nechvalin (Nivky),207.1.6. Gr. 18,ceramic,,,,sand,,,,,,,,,,,jug ,"jug (fine potsherds with it, grey to brown-red coarsened surface. Clay with admixture of coarse sand grains. (B - 100 mm)",,"fine potsherds with it, grey to brown-red coarsened surface. Clay with admixture of coarse sand grains. ",10,10,10,TRUE,,,,B - 100 mm),
Nechvalin (Nivky),207.1.6. Gr. 18,ceramic,,,,sand,,,,,,,,,,,3 potsherds from belly of another vessel ,3 potsherds from belly of another vessel (light brown coarsened surface. At fracture and inside grey-black. Sandy clay matrix),,3 potsherds from belly of another vessel (light brown coarsened surface. At fracture and inside grey-black. Sandy clay matrix),10,10,10,TRUE,,,,,
Nechvalin (Nivky),207.1.6. Gr. 18,ceramic,,,,,,,,,,ribbon handle,1,,,,torso of jug ,torso of jug (ribbon handle. Coarse light grey surface. Fine clay material. (H - 143 mm; R � ca 80 mm; B - 110 mm),,torso of jug (ribbon handle. Coarse light grey surface. Fine clay material. (H - 143 mm; R � ca 80 mm; B - 110 mm),14.3,11,14.3,,H - 143 mm,R - ca 80 mm,,B - 110 mm),
Nechvalin (Nivky),207.1.6. Gr. 18,ceramic,,,,sand,,,1,,,,,,,,potsherds from unidentified vessel ,potsherds from unidentified vessel (grey-brown smooth surface. Clay amply intermixed with coarse grains of sand) (max width c. 20 cm from drawing),,potsherds from unidentified vessel (grey-brown smooth surface. Clay amply intermixed with coarse grains of sand) (max width c. 20 cm from drawing),10,20,20,TRUE,,,c. 200 mm?,,
Nechvalin (Nivky),207.1.6. Gr. 18,ceramic,,,,sand,,,,,,handle,2,,,,large potsherd from amphora ,large potsherd from amphora (belly and bottom of two-handle ball-shaped. Clay with admixture of coarse sand grains. (Rec. H - 276 mm; B - 90 mm),,belly and bottom of two-handle ball-shaped. Clay with admixture of coarse sand grains. ,27.6,9,27.6,,Rec. H - 276 mm,,,B - 90 mm),
Pavlov (Horni pole),232.1.1 Grave 5 (VN 1),ceramic,,,,,,,1,,,tunnel handles,4,,,,amphora ,amphora (widely open neck and four tunnel handles below neck. Yellow-brown spotted smooth surface. Fine clay material. (H - 271 mm; R - 108-110 mm; C - 318/122 mm; B - 97 mm),,widely open neck and four tunnel handles below neck. Yellow-brown spotted smooth surface. Fine clay material. ,27.1,31.8,31.8,,H - 271 mm,R - 108-110 mm,C - 318/122 mm,B - 97 mm),
Pavlov (Horni pole),232.1.1 Grave 5 (VN 1),ceramic,,,,sand,,,1,,,ribbon handle,1,,,,jug ,"jug (ribbon handle drawn from rim. Smooth, in places cracked yellow-brown surface. Clay intermixed with fine grains of sand. (H - 137 mm; R - 129 mm; B - 80 mm)",,"ribbon handle drawn from rim. Smooth, in places cracked yellow-brown surface. Clay intermixed with fine grains of sand. ",13.7,12.9,13.7,,H - 137 mm,R - 129 mm,,B - 80 mm),
Pavlov (Horni pole),232.1.1 Grave 5 (VN 1),ceramic,,,,sand,,,1,,,modelled bosses,4,,,,high egg-shaped pot ,high egg-shaped pot (1 preserved modelled boss (originally 4). Grey-brown smooth surface. Clay with fine grains of sand. (Reconst. H - 282 mm; R - 180 mm; C - 122/160 mm; B - 105 mm),,1 preserved modelled boss originally 4). Grey-brown smooth surface. Clay with fine grains of sand.,28.2,18,28.2,,Reconst. H - 282 mm,R - 180 mm,C - 122/160 mm,B - 105 mm),
Pavlov (Horni pole),232.1.2. Gr. 14,ceramic,,,,,,,1,,,tunnel handles,4,,,,amphora ,"amphora (open neck and four tunnel-shaped handles below neck, smooth (in places coarsened) surface. Fine clay material. (H - 310 mm; R - 122 mm; C 310/147 mm, B 146mm)",,"open neck and four tunnel-shaped handles below neck, smooth in places coarsened) surface. Fine clay material.",31,31,31,,H - 310 mm,R - 122 mm,C 310/147 mm,B 146mm),
Pavlov (Horni pole),232.1.2. Gr. 14,ceramic,,,,sand,,,1,,,,,,,,small beaker ,"small beaker (corded (not visible), found inside amphora, small undecorated beaker with high, slightly open neck, continually passing into low situated belly. Grey-brown smooth (in places cracked) surface. Clay intermixed with fine grams of sand, (H 94 mm; R � 60)",,"corded, found inside amphora, small undecorated corded beaker with high, slightly open neck, continually passing into low situated belly. Grey-brown smooth in places cracked) surface. Clay intermixed with fine grams of sand,",9.4,6,9.4,,H 94 mm,R - 60),,,
Pavlov (Horni pole),232.1.2. Gr. 14,ceramic,,,,sand,,,1,,,ribbon handle,1,,,,funnel-shaped pot ,"funnel-shaped pot (opened neck, ribbon handle, brown-grey smooth surface. Clay with fine grains of sand. (H 119 mm, R - 148 mm; B - 84 mm)",,"opened neck, ribbon handle, brown-grey smooth surface. Clay with fine grains of sand. ",11.9,14.8,14.8,,H 119 mm,R - 148 mm,,B - 84 mm),
Pavlov (Horni pole),232.1.2. Gr. 14,ceramic,,,,sand,,,1,,,,,,,,torso of jug ,"torso of jug (Smooth brown-grey surface. Clay with strong admixture of sand grains. (Pres, H 156 mm; R - 145 mm)",,Smooth brown-grey surface. Clay with strong admixture of sand grains. ,15.6,14.5,15.6,,"Pres, H 156 mm",R - 145 mm),,,
Pavlov (Horni pole),232.1.2. Gr. 14,ceramic,,,,sand,,,1,,,handle,1,,,,potsherds of jug ,potsherds of jug (bent slightly set-off neck and double-conic body. Handle not preserved. Grey-brown smooth surface. Sandy clay matrix. (H - 152 mm; R - 96 mm; B - 72 mm),,bent slightly set-off neck and double-conic body. Handle not preserved. Grey-brown smooth surface. Sandy clay matrix. ,15.2,9.6,15.2,,H - 152 mm,R - 96 mm,,B - 72 mm),
Brno (Luzanky),24.2.1. Gr. 1,ceramic,,,,sand,,,,,,ribbon handle,1,,,,pot ,pot (ribbon handle. Brown-grey coarse surface. Coarse sandy clay matrix. (H - 117 nun; R -147 mm; C - 156/70 mm; B - 89 mm),,ribbon handle. Brown-grey coarse surface. Coarse sandy clay matrix. ,11.7,15.6,15.6,,H - 117 nun,R -147 mm,C - 156/70 mm,B - 89 mm),
Brno (Luzanky),24.2.1. Gr. 1,ceramic,,,,sand,,,,,,,,,,,bowl ,bowl (Moravian type. Brown-grey coarse surface. Coarse sandy clay matrix. (H - 35 mm; R - 115 mm; B - 75 mm),,Moravian type. Brown-grey coarse surface. Coarse sandy clay matrix. ,3.5,11.5,11.5,,H - 35 mm,R - 115 mm,,B - 75 mm),
Podoli (Zuran),240.1.1. Br. 1,ceramic,,,,sand,,,1,,,tunnel handles,4,,,,amphora ,amphora (four tunnel-shaped handles below neck. Grey-brown smooth surface. Sandy clay material. (H - 290 mm; R - 175 mm; C - 282/125 mm; B -100 mm),,four tunnel-shaped handles below neck. Grey-brown smooth surface. Sandy clay material. ,29,28.2,29,,H - 290 mm,R - 175 mm,C - 282/125 mm,B -100 mm),
Prostejov (Dolni ulice),246.1.1. Gr. 1,ceramic,,,,sand,,,,,,ribbon handle,1,,,,Nagyrev jug ,"Nagyrev jug (Balkan type, ribbon handle. Coarsened light brown surface with grey spots. Clay material with fine sand grains. (H - 190 mm; R - 100 mm; C - 155/55 mm; B - 82 mm)",,"Balkan type, ribbon handle. Coarsened light brown surface with grey spots. Clay material with fine sand grains. ",19,15.5,19,,H - 190 mm,R - 100 mm,C - 155/55 mm,B - 82 mm),
Prostejov (Dolni ulice),246.1.1. Gr. 1,ceramic,,,,,,,,,,handle,1,,,,jug with handle ,jug with handle (unidentified),,jug with handle (unidentified),15,15,15,TRUE,,,,,
Prostejov (Dolni ulice),246.1.1. Gr. 1,ceramic,,,,,,,,,,belly buttons,2,,,,bowl ,"bowl (double belly-buttons at neck edge, lost)",,"bowl (double belly-buttons at neck edge, lost)",15,15,15,TRUE,,,,,
Prostejov (Dolni ulice),246.1.1. Gr. 1,ceramic,,,,,,,,,,,,,,,bowl ,bowl (Moravian type (not found),,bowl (Moravian type (not found),15,15,15,TRUE,,,,,
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,1,,,handle,,,,,jug potsherds ,"jug potsherds (amphora-shaped, Grey-brown smooth surface. Clay intermixed with coarse grains of sand. (H - 248 mm; R - 110 mm; C - 265/65 mm; B - 105 mm),  ",,"amphora-shaped, Grey-brown smooth surface. Clay intermixed with coarse grains of sand. ",24.8,26.5,26.5,,H - 248 mm,R - 110 mm,C - 265/65 mm,"B - 105 mm),",
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,bowl ,bowl (semi-globular shape. Brown smooth surface with light spots. Clay with coarse grains of sand. (H - 67-77 mm; R - 210 mm; B - 50 mm),,bowl (semi-globular shape. Brown smooth surface with light spots. Clay with coarse grains of sand. (H - 67-77 mm; R - 210 mm; B - 50 mm),7.2,21,21,,H - 67-77 mm,R - 210 mm,,B - 50 mm),
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,,,,1,,,,,,,,Nagyr�v jug ,"Nagyrev jug (3 potsherds from neck and 3 from belly, Balkan type. Grey-brown smooth surface. Fine clay material. (Pres. H - 82 mm)",,"3 potsherds from neck and 3 from belly, Balkan type. Grey-brown smooth surface. Fine clay material. ",8.2,8,8.2,TRUE,Pres. H - 82 mm),,,,
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,1,,,handle,2,,,,amphora ,"3 potsherds from amphora (two-handled ball-shaped, 3 potsherds, Dark grey smooth surface. Fine clay intermixed with fine grains of sand)",,"two-handled ball-shaped, 3 potsherds, Dark grey smooth surface. Fine clay intermixed with fine grains of sand)",10,10,10,TRUE,,,,,
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,,,,,,,,,jug ,"jug (undecorated, 5 potsherds from body of jug, Coarsened grey-brown surface. Fine clay material with fine grains of sand. (Reconst. H - 132 mm; B - 80 mm)",,"undecorated, 5 potsherds from body of jug, Coarsened grey-brown surface. Fine clay material with fine grains of sand. ",13.2,8,13.2,,Reconst. H - 132 mm,,,B - 80 mm),
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,undetermined vessel ,"undetermined vessel (3 potsherds from lower part, Light brown to grey smooth surface. Fine clay with fine sand grains. (B - 100 mm)",,"3 potsherds from lower part, Light brown to grey smooth surface. Fine clay with fine sand grains. ",,10,10,,,,,B - 100 mm),
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,,,,1,,,,,,,,undetermined vessel ,"undetermined vessel (thin-walled, bottom part, Yellow-brown smooth surface. Clay material. (B - 70 mm)",,"thin-walled, bottom part, Yellow-brown smooth surface. Clay material. ",7,7,7,TRUE,,,,B - 70 mm),
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,,,,1,,,,,,,,amphora ,"amphora (pot-shaped, torso, Brown-grey smooth surface. Finely washed clay. (Pres. H - 150 mm; B - 80 mm)",,"pot-shaped, torso, Brown-grey smooth surface. Finely washed clay. ",15,8,15,,Pres. H - 150 mm,,,B - 80 mm),
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,,,,tunnel handle,1,,,,unidentified vessel ,"unidentified vessel (potsherd from neck, Below rim tunnel handle preserved. Grey coarsened surface. Clay material mixed with sand grains)",,"potsherd from neck, Below rim tunnel handle preserved. Grey coarsened surface. Clay material mixed with sand grains)",10,10,10,TRUE,,,,,
Prostejov (Waitova ulice),246.3.1. Gr. 1,ceramic,,,,sand,,,1,,,multiple wave,1,,,,pot ,"Fraction from belly of pot (decorated with multiple wave, fraction from bellow neck, grey-brown smooth surface. Sandy clay material)",,"Fraction from belly of pot decorated with multiple wave, fraction from bellow neck, grey-brown smooth surface. Sandy clay material)",10,10,10,TRUE,,,,,
Brno-Chrlice (Zadni roviny),25.4.2 Grave 1,ceramic,,,,sand,,1,,,,,,,,,unidentified vessel ,"unidentified vessel (3 small fragments, brown polished surface. Clay intermixed with small sand grains)",,"3 small fragments, brown polished surface. Clay intermixed with small sand grains)",10,10,10,TRUE,,,,,
Brno-Chrlice (Zadni roviny),25.4.2 Grave 1,ceramic,,,,sand,,,1,,,,,,,,large unidentified vessel ,"large unidentified vessel (torso of the lower part of conical shape, Smooth yellow-brown spotted surface. Clay matrix with large sand grains. From the same vessel 12 fragments of the belly preserved. (B - 100 mm; Pres. H -116 mm)",,"torso of the lower part of conical shape, Smooth yellow-brown spotted surface. Clay matrix with large sand grains. From the same vessel 12 fragments of the belly preserved. ",11.6,10,11.6,,Pres. H -116 mm),,,B - 100 mm,
Pustimer (cemetery),257.1.1. Gr. 1,ceramic,,,,,,,1,1,0.43,handle,2,,,,amphora ,amphora (decorated two-handle ball-shaped amphora. Grey smooth surface. (H - 280 mm; R - 125 mm; C - 250/130 mm; B - 105 mm),"92:2, 181:4a-b",decorated two-handle ball-shaped amphora. Grey smooth surface. ,28,25,28,,H - 280 mm,R - 125 mm,C - 250/130 mm,B - 105 mm),
Sivice (Zahumeni),271.1.1. Gr. 1: Skel. 1,ceramic,,,,sand,,,,1,0.2,handle,,,,,beaker ,"beaker (corded, biconical body, Brick red coarsened surface. Coarse sandy clay matrix. (H - 205 mm; R - 129 mm; C - 163/90 mm; B - 80 mm)","96:5, 185:6","corded, biconical body, Brick red coarsened surface. Coarse sandy clay matrix. ",20.5,16.3,20.5,,H - 205 mm,R - 129 mm,C - 163/90 mm,B - 80 mm),
Sivice (Zahumeni),271.1.1. Gr. 1: Skel. 1,ceramic,,,,,,,1,,,,,,,,potsherd ,"potsherd (red smooth surface, unidentified)",,"potsherd (red smooth surface, unidentified)",10,10,10,TRUE,,,,,
Sivice (Zahumeni),271.1.1. Gr. 1: Skel. 1,ceramic,,,,,,,1,1,0.4,ribbon handle,1,,,,at both skeletons' feet ,"at both skeletons' feet (eastern wall): jug (decorated, Drevohostice type with massive ribbon handle. Smooth brown-grey surface. (H - 253 mm; R - 185 mm; C - 276/95; B - 85 mm., standing position)","96:6, 184:5","jug decorated, Drevohostice type with massive ribbon handle. Smooth brown-grey surface.",25.3,27.6,27.6,,H - 253 mm,R - 185 mm,C - 276/95,"B - 85 mm., standing position)",
Slatinky (Nivky),273.1.1. Gr. 1,ceramic,,,,sand,,,,1,0.4,handle,,,,,jug ,"jug (decorated, Drevohostice type. Brown-grey coarsened surface. Sandy clay matrix. (H - 214- 222 mm; R - 142 mm; B - 88 mm)","97:4, 190:8","decorated, Drevohostice type. Brown-grey coarsened surface. Sandy clay matrix. ",21.8,14.2,21.8,,H - 214- 222 mm,R - 142 mm,,B - 88 mm),
Slatinky (Nivky),273.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.5,,,,,,beaker ,"beaker (corded, decorated, brown smooth surface. Sandy clay matrix. (H - 161 mm; R - 100 mm; B - 73 mm)","97:1, 185:10","corded, decorated, brown smooth surface. Sandy clay matrix. ",16.1,10,16.1,,H - 161 mm,R - 100 mm,,B - 73 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,handle,1,,,,Nagyr�v jug ,Nagyrev jug (Balkan type with handle below rim. Grey smooth surface with light spots. Clay intermixed with coarse grains of sand. (H - 186 mm; R - 93 mm; C - 147/42-45 mm; B - 82 mm),,Balkan type with handle below rim. Grey smooth surface with light spots. Clay intermixed with coarse grains of sand. ,18.6,14.7,18.6,,H - 186 mm,R - 93 mm,C - 147/42-45 mm,B - 82 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,,,,handles,4,,,,Pot-shaped amphora ,Pot-shaped amphora (four handles below neck. Grey-brown coarsened surface. Coarse sandy clay matrix. (H - 218 mm; R - 108 mm; C - 190/95 mm; B - 86 mm),,four handles below neck. Grey-brown coarsened surface. Coarse sandy clay matrix. ,21.8,19,21.8,,H - 218 mm,R - 108 mm,C - 190/95 mm,B - 86 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,Jug ,Jug (dark grey smooth surface with dark spots. Clay with coarse sand grains. (H - 140 mm; R-125 mm; C - 180/45 mm; B - 90 mm),,dark grey smooth surface with dark spots. Clay with coarse sand grains. ,14,18,18,,H - 140 mm,R-125 mm,C - 180/45 mm,B - 90 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,ribbon handle,1,,,,pot ,pot (ribbon handle. Dark grey smooth surface. Clay with sand grains. (H - 115 mm; R -146 mm; C - 155/60 mm; B - 85 mm),,ribbon handle. Dark grey smooth surface. Clay with sand grains. ,11.5,15.5,15.5,,H - 115 mm,R -146 mm,C - 155/60 mm,B - 85 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,tunnel handles,3,,,,bowl ,bowl (groove below rim with three tunnel handles bridging it. Smooth grey-brown surface. Clay with coarse grains of sand. (H - 125 mm; R - 260 mm; B - 110 mm),,groove below rim with three tunnel handles bridging it. Smooth grey-brown surface. Clay with coarse grains of sand. ,12.5,26,26,,H - 125 mm,R - 260 mm,,B - 110 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,modelled boss,1,,,,bowl ,"bowl (Moravian type, modelled boss. Dark grey smooth surface. Coarse sandy clay matrix. (H - 44 mm; R - 120 mm; B - 50 mm)",,"Moravian type, modelled boss. Dark grey smooth surface. Coarse sandy clay matrix. ",4.4,12,12,,H - 44 mm,R - 120 mm,,B - 50 mm),
Slavkov u Brna (Slovanska ulice),277.1.1. Gr. 1,ceramic,,,,sand,,,1,,,"ribbon handles, modelled ledge",3,,,,277.1.1.7. Egg-shaped pot ,277.1.1.7. Egg-shaped pot (two ribbon handles reinforced at back with modelled ledge. Brown smooth material with dark spots. Sandy clay matrix. (H - 275 mm; R - 198 mm; C - 240/190 mm; B - 100 mm),,two ribbon handles reinforced at back with modelled ledge. Brown smooth material with dark spots. Sandy clay matrix. ,27.5,24,27.5,,H - 275 mm,R - 198 mm,C - 240/190 mm,B - 100 mm),
Smrzice (Zaolesni),281.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.7,tunnel handles,2,,,,bowl ,"bowl (decorated, Sch�nfeld type, two tunnel handles. Brown smooth surface. Coarse sandy clay matrix. (H- 67 mm; R - 204-209 mm; B - 70 mm)","105:1a-b, 194:2a-b","decorated, Sch�nfeld type, two tunnel handles. Brown smooth surface. Coarse sandy clay matrix. ",6.7,20.65,20.65,,H- 67 mm,R - 204-209 mm,,B - 70 mm),
Smrzice (Zaolesni),281.1.1. Gr. 1,ceramic,,,,sand,,,,,,modelled boss,1,,,,undetermined vessel ,"undetermined vessel (rim potsherd only, modelled boss, brown coarsened surface. Coarse sandy clay matrix)",,"rim potsherd only, modelled boss, brown coarsened surface. Coarse sandy clay matrix)",10,10,10,TRUE,,,,,
Smrzice (Zaolesni),281.1.1. Gr. 1,ceramic,,,,,,,,,,,,,,,vessel ,vessel (destroyed by ploughing),,vessel (destroyed by ploughing),10,10,10,TRUE,,,,,
Smrzice (Zaolesni),281.1.1. Gr. 1,ceramic,,,,,,,,,,,,,,,vessel ,vessel (destroyed by ploughing),,vessel (destroyed by ploughing),10,10,10,TRUE,,,,,
"Straznice (Sterkovna, Gravel pit)",291.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.4,handles,2,,,,vessel of bag-shape ,"vessel of bag-shape (decorated, two small handles below open neck. Yellow-brown smooth (in places work out) surface. Sandy clay matrix. (H - 210 mm; R -110 mm)","100:1, 180:3","decorated, two small handles below open neck. Yellow-brown smooth in places work out) surface. Sandy clay matrix.",21,11,21,,H - 210 mm,R -110 mm),,,
"Straznice (Sterkovna, Gravel pit)",291.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.2,,,,,,beaker ,"beaker (potsherds, corded, spherical body, decorated at neck with ten cord imprints. Red-brown smooth surface. Clay material intermixed with small sand grains. (Rec. H - 180 mm; B - 72 mm)",,"potsherds, corded, spherical body, decorated at neck with ten cord imprints. Red-brown smooth surface. Clay material intermixed with small sand grains. ",18,7.2,18,,Rec. H - 180 mm,,,B - 72 mm),
Sudomerice (Piskovna),294.1.1 Grave 5 (VN 1),ceramic,,,,,,,,1,0.2,handle,,,,,beaker ,"beaker (potsherds from corded beaker decorated by cord imprints with spherical body, lost, decorated area inferred from other beakers)",,"potsherds from corded beaker decorated by cord imprints with spherical body, lost), approximate measure of largest from grave drawing c. 25 cm",2.5,2.5,2.5,,,,,,
Sudomerice (Piskovna),294.1.1 Grave 5 (VN 1),ceramic,,,,,,,,1,0.1,,,,,,unidentified vessel ,"unidentified vessel (potsherds, decorated on shoulder with hatched triangles and on the bent neck with two grooves, (10% decoration assumed from description))",,"potsherds, decorated on shoulder with hatched triangles and on the bent neck with two grooves), approximate measure of largest from grave drawing c. 25 cm",2.5,2.5,2.5,,,,,,
Sudomerice (Piskovna),294.1.1 Grave 5 (VN 1),ceramic,,,,,,,1,1,0.15,"modelled boss, bored holes",3,,,,bowl ,"bowl (decorated, conical shape, socketed flat bottom decorated on the lower side with indents and a modelled boss with two bored holes. Smooth (in places worn out) surface. Clay material. (H - 60 mm, R- 170 mm; B - 76 mm)","107:2, 194:4a-b","decorated, conical shape, socketed flat bottom decorated on the lower side with indents and a modelled boss with two bored holes. Smooth in places worn out) surface. Clay material.",6,17,17,,H - 60 mm,R- 170 mm,,B - 76 mm),
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,,,,1,,,,,,,,amphora ,"amphora (brown smooth surface, (430x430mm)",,"brown smooth surface, ",43,43,43,,430,430mm),,,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,,,,1,,,,,,,,egg-shaped pot ,"egg-shaped pot (no bottom preserved, red-brown smooth surface, estimated (H 356mm)",,"no bottom preserved, red-brown smooth surface, estimated ",35.6,0,35.6,,H 356mm),,,,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,sand,,,,,,ribbon handle,1,,,,jug ,"jug (undecorated, ribbon handle, coarse sand-tempered, brick-red coarse surface, (H 120mm, rim 110 mm, bottom 80 mm)",,"undecorated, ribbon handle, coarse sand-tempered, brick-red coarse surface, ",12,11,12,,H 120mm,rim 110 mm,,bottom 80 mm),
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,sand,,1,,,,ribbon handle,1,,,,jug ,"jug (undecorated, Drevohostice-type, ribbon handle, dark brown polished surface, sand-tempered, (H 162mm, R 133mm, B 60mm, convexity/belly 198/60mm)",,"undecorated, Drevohostice-type, ribbon handle, dark brown polished surface, sand-tempered, ",16.2,19.8,19.8,,H 162mm,R 133mm,B 60mm,convexity/belly 198/60mm),
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.3 Grave 42 VN 1,ceramic,,,,,,,,,,,,,,,Jug ,Jug ((95x52x40mm),,Jug ((95x52x40mm),9.5,5.2,9.5,,95,52,40mm),,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.3 Grave 42 VN 1,ceramic,,,,,,,,,,,,,,,unidentified vessel ,"unidentified vessel ((66mm height, max width 9 cm)",,unidentified vessel ((66mm height),6.6,9,9,,66mm height),90,,,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.4 Grave 70 (VN I),ceramic,,,,sand,,,1,,,,,,,,bowl ,"bowl (Moravian type, smooth brown-red surface, coarse sand-tempered (34x100x50mm)",,"Moravian type, smooth brown-red surface, coarse sand-tempered ",3.4,10,10,,34,100,50mm),,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.4 Grave 70 (VN I),ceramic,,,,sand,,,1,,,,,,,,handless low vessel ,"handless low vessel (with bent neck, brown-black smooth surface, sandy clay matrix, (82x143x80mm)",,"with bent neck, brown-black smooth surface, sandy clay matrix, ",8.2,14.3,14.3,,82,143,80mm),,
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,,,,,,jug ,"jug (undecorated, funnel-shaped neck. Black smooth surface. Sandy clay matrix. (H - 116 mm; R 86mm - C 108/37 mm; B - 64 mm)",,"undecorated, funnel-shaped neck. Black smooth surface. Sandy clay matrix. ",11.6,10.8,11.6,,H - 116 mm,R 86mm,C 108/37 mm,B - 64 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,1,0.6,,,,,,jug ,"jug (potsherds, decorated, Drevohostice type. Black-grey smooth surface. Sandy clay matrix. (H - 188 mm; 1- 140 mm; C - 204/54 mm; B - 85 mm)",108:3,"potsherds, decorated, Drevohostice type. Black-grey smooth surface. Sandy clay matrix. ",18.8,20.4,20.4,,H - 188 mm,1- 140 mm,C - 204/54 mm,B - 85 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,"ribbon handles, modelled ledge, tunnel handles",7,,,,Amphora ,"Amphora (globular body, two ribbon handles, modelled ledge on belly. Below neck four tunnel handles. Grey-brown smooth surface. Sandy clay matrix. (H - 388 mm; R 135mm, W 412/195 mm; B - 108 mm)",,"globular body, two ribbon handles, modelled ledge on belly. Below neck four tunnel handles. Grey-brown smooth surface. Sandy clay matrix. ",38.8,41.2,41.2,,H - 388 mm,R 135mm,C 412/195 mm,B - 108 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,,,,,,vessel with low cylindrical neck ,"vessel with low cylindrical neck (only small potsherds, Black-grey smooth surface. Sandy clay matrix)",,"vessel with low cylindrical neck only small potsherds, Black-grey smooth surface. Sandy clay matrix)",10,10,10,TRUE,,,,,
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,sand,,,1,1,0.6,modelled boss,1,,,,bowl ,"bowl (decoration on inner side, modelled boss below rim, dark grey smooth surface, sandy material, (H 47-50mm, R 158mm, B 40mm)",110:1a-b,"decoration on inner side, modelled boss below rim, daark grey smooth surface, sandy material, ",4.85,15.8,15.8,,H 47-50mm,R 158mm,,B 40mm),
